scenario_id,name,year,month,revenue,profit,profit_margin,cash_reserves,free_cash_flow,active_event_count
scenario_base,Base Case,2026,1,10.485,-18.416,-1.756,19.364,4.364,0
scenario_base,Base Case,2026,2,11.983,-16.918,-1.412,20.487,5.487,0
scenario_base,Base Case,2026,3,15.213,-13.688,-0.9,22.91,7.91,0
scenario_base,Base Case,2026,4,11.983,-16.68,-1.392,20.487,5.487,0
scenario_base,Base Case,2026,5,12.102,-16.561,-1.368,20.577,5.577,0
scenario_base,Base Case,2026,6,11.983,-16.68,-1.392,20.487,5.487,0
scenario_base,Base Case,2026,7,14.131,-14.532,-1.028,22.098,7.098,0
scenario_base,Base Case,2026,8,15.145,-13.698,-0.904,22.859,7.859,0
scenario_base,Base Case,2026,9,14.102,-14.741,-1.045,22.077,7.077,0
scenario_base,Base Case,2026,10,17.103,-11.9,-0.696,24.327,9.327,0
scenario_base,Base Case,2026,11,16.134,-12.869,-0.798,23.601,8.601,0
scenario_base,Base Case,2026,12,26.044,-2.959,-0.114,31.033,16.033,0
scenario_base,Base Case,2027,1,10.642,-18.259,-1.716,19.481,4.481,0
scenario_base,Base Case,2027,2,12.138,-16.763,-1.381,20.604,5.604,0
scenario_base,Base Case,2027,3,15.368,-13.533,-0.881,23.026,8.026,0
scenario_base,Base Case,2027,4,12.138,-16.525,-1.361,20.604,5.604,0
scenario_base,Base Case,2027,5,12.266,-16.397,-1.337,20.7,5.7,0
scenario_base,Base Case,2027,6,12.138,-16.525,-1.361,20.604,5.604,0
scenario_base,Base Case,2027,7,14.305,-14.358,-1.004,22.229,7.229,0
scenario_base,Base Case,2027,8,15.349,-13.494,-0.879,23.012,8.012,0
scenario_base,Base Case,2027,9,14.262,-14.581,-1.022,22.197,7.197,0
scenario_base,Base Case,2027,10,17.258,-11.745,-0.681,24.444,9.444,0
scenario_base,Base Case,2027,11,16.311,-12.692,-0.778,23.733,8.733,0
scenario_base,Base Case,2027,12,26.366,-2.637,-0.1,31.274,16.274,0
