scenario_id,name,year,month,revenue,profit,profit_margin,cash_reserves,free_cash_flow,active_event_count
scenario_downside,Downside,2026,1,6.475,-16.646,-2.571,16.356,1.356,1
scenario_downside,Downside,2026,2,7.218,-15.902,-2.203,16.913,1.913,1
scenario_downside,Downside,2026,3,12.17,-10.95,-0.9,20.627,5.627,0
scenario_downside,Downside,2026,4,9.586,-13.344,-1.392,18.69,3.69,0
scenario_downside,Downside,2026,5,9.682,-13.249,-1.368,18.761,3.761,0
scenario_downside,Downside,2026,6,9.586,-13.344,-1.392,18.69,3.69,0
scenario_downside,Downside,2026,7,11.305,-11.626,-1.028,19.979,4.979,0
scenario_downside,Downside,2026,8,12.116,-10.958,-0.904,20.587,5.587,0
scenario_downside,Downside,2026,9,11.282,-11.793,-1.045,19.962,4.962,0
scenario_downside,Downside,2026,10,13.682,-9.52,-0.696,21.761,6.761,0
scenario_downside,Downside,2026,11,12.907,-10.295,-0.798,21.18,6.18,0
scenario_downside,Downside,2026,12,20.835,-2.367,-0.114,27.126,12.126,0
scenario_downside,Downside,2027,1,8.514,-14.607,-1.716,17.885,2.885,0
scenario_downside,Downside,2027,2,9.71,-13.41,-1.381,18.783,3.783,0
scenario_downside,Downside,2027,3,12.294,-10.826,-0.881,20.721,5.721,0
scenario_downside,Downside,2027,4,9.71,-13.22,-1.361,18.783,3.783,0
scenario_downside,Downside,2027,5,9.813,-13.118,-1.337,18.86,3.86,0
scenario_downside,Downside,2027,6,9.71,-13.22,-1.361,18.783,3.783,0
scenario_downside,Downside,2027,7,11.444,-11.486,-1.004,20.083,5.083,0
scenario_downside,Downside,2027,8,12.279,-10.795,-0.879,20.709,5.709,0
scenario_downside,Downside,2027,9,11.41,-11.665,-1.022,20.058,5.058,0
scenario_downside,Downside,2027,10,13.806,-9.396,-0.681,21.854,6.854,0
scenario_downside,Downside,2027,11,13.049,-10.154,-0.778,21.287,6.287,0
scenario_downside,Downside,2027,12,21.093,-2.11,-0.1,27.32,12.32,0
