scenario_id,name,year,month,revenue,profit,profit_margin,cash_reserves,free_cash_flow,active_event_count
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,1,6.637,-17.062,-2.571,13.478,1.478,1
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,2,7.399,-16.3,-2.203,14.049,2.049,1
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,3,12.475,-11.224,-0.9,17.856,5.856,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,4,9.826,-13.678,-1.392,15.87,3.87,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,5,9.924,-13.58,-1.368,15.943,3.943,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,6,9.826,-13.678,-1.392,15.87,3.87,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,7,11.587,-11.916,-1.028,17.19,5.19,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,8,12.419,-11.232,-0.904,17.814,5.814,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,9,11.564,-12.088,-1.045,17.173,5.173,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,10,14.024,-9.758,-0.696,19.018,7.018,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,11,13.23,-10.553,-0.798,18.423,6.423,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2026,12,21.356,-2.426,-0.114,24.517,12.517,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,1,8.726,-14.972,-1.716,15.045,3.045,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,2,9.953,-13.746,-1.381,15.965,3.965,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,3,12.602,-11.097,-0.881,17.952,5.952,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,4,9.953,-13.55,-1.361,15.965,3.965,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,5,10.058,-13.446,-1.337,16.043,4.043,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,6,9.953,-13.55,-1.361,15.965,3.965,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,7,11.73,-11.774,-1.004,17.298,5.298,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,8,12.586,-11.065,-0.879,17.94,5.94,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,9,11.695,-11.956,-1.022,17.271,5.271,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,10,14.152,-9.631,-0.681,19.114,7.114,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,11,13.375,-10.407,-0.778,18.531,6.531,0
scenario_simultaneous,Simultaneous Shocks + Large Investment,2027,12,21.62,-2.162,-0.1,24.715,12.715,0
