policy,year,month,revenue,profit,cash_reserves,free_cash_flow,committed_capex,approvals,active_events
tranche,2026,1,10.485,-18.416,19.364,4.364,2.0,0,[]
tranche,2026,2,11.983,-16.918,24.851,5.487,2.0,0,[]
tranche,2026,3,9.027,-19.874,28.121,3.27,2.0,0,"[{""id"": ""shock_stage_market_drop"", ""date"": ""2026-03-01"", ""type"": ""market_shock"", ""impact_map"": {""stage_market"": -0.3}, ""duration_months"": 2, ""source"": ""scenario"", ""notes"": ""Stage market drop 30%""}]"
tranche,2026,4,7.218,-21.445,29.034,1.913,3.0,1,"[{""id"": ""shock_stage_market_drop"", ""date"": ""2026-03-01"", ""type"": ""market_shock"", ""impact_map"": {""stage_market"": -0.3}, ""duration_months"": 2, ""source"": ""scenario"", ""notes"": ""Stage market drop 30%""}]"
tranche,2026,5,9.682,-18.981,31.795,3.761,4.0,1,[]
tranche,2026,6,9.586,-19.077,34.485,3.69,5.0,1,[]
tranche,2026,7,11.305,-17.358,39.464,4.979,5.0,0,[]
tranche,2026,8,12.116,-16.727,45.051,5.587,5.0,0,[]
tranche,2026,9,14.101999999999999,-14.741,52.127,7.076,5.0,0,[]
tranche,2026,10,17.103,-11.9,61.454,9.327,5.0,0,[]
tranche,2026,11,16.134,-12.869,70.055,8.601,5.0,0,[]
tranche,2026,12,26.044,-2.959,86.088,16.033,5.0,0,[]
tranche,2027,1,10.642,-18.259,90.569,4.481,5.0,0,[]
tranche,2027,2,12.138,-16.763,96.173,5.604,5.0,0,[]
tranche,2027,3,15.367999999999999,-13.533,104.199,8.026,5.0,0,[]
tranche,2027,4,12.138,-16.525,109.803,5.604,5.0,0,[]
tranche,2027,5,12.266,-16.397,115.503,5.7,5.0,0,[]
tranche,2027,6,12.138,-16.525,121.107,5.604,5.0,0,[]
tranche,2027,7,14.305,-14.358,128.336,7.229,5.0,0,[]
tranche,2027,8,15.349,-13.494,136.348,8.012,5.0,0,[]
tranche,2027,9,14.261999999999999,-14.581,143.544,7.196,5.0,0,[]
tranche,2027,10,17.258,-11.745,152.988,9.444,5.0,0,[]
tranche,2027,11,16.311,-12.692,161.721,8.733,5.0,0,[]
tranche,2027,12,26.366,-2.637,177.995,16.274,5.0,0,[]
